City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-0.01,73,8,5.48,SJ,1685112529
1,turbat,26.0023,63.044,35.99,41,4,7.08,PK,1685112529
2,albany,42.6001,-73.9662,17.93,45,0,1.34,US,1685112251
3,port elizabeth,-33.918,25.5701,17.83,58,0,7.2,ZA,1685112529
4,las tablas,7.7667,-80.2833,26.31,82,100,1.96,PA,1685112529
5,tuyum,9.9769,122.5582,27.55,82,58,2.55,PH,1685112529
6,mount pleasant,32.7941,-79.8626,17.22,76,75,5.66,US,1685112530
7,santana,-0.0583,-51.1817,31.1,74,75,4.63,BR,1685112530
8,masina,-4.3836,15.3914,28.19,78,75,2.06,CD,1685112494
9,czarnkow,52.9021,16.5641,18.24,40,10,5.75,PL,1685112447
10,edinburgh of the seven seas,-37.0676,-12.3116,15.89,84,55,11.67,SH,1685112530
11,porbandar,21.6422,69.6093,29.99,79,40,5.14,IN,1685112530
12,waitangi,-43.9535,-176.5597,14.34,82,14,4.02,NZ,1685112530
13,mata-utu,-13.2816,-176.1745,26.8,82,100,8.52,WF,1685112530
14,thompson,55.7435,-97.8558,4.09,100,100,6.17,CA,1685112530
15,bredasdorp,-34.5322,20.0403,14.64,58,30,1.86,ZA,1685112530
16,college,64.8569,-147.8028,13.18,83,75,3.09,US,1685112531
17,letlhakane,-21.4167,25.5833,27.35,21,0,3.08,BW,1685112531
18,adamstown,-25.066,-130.1015,22.45,69,0,2.66,PN,1685112531
19,mimizan,44.2006,-1.2289,27.18,56,7,3.25,FR,1685112531
20,papatowai,-46.5619,169.4708,10.41,63,12,6.64,NZ,1685112531
21,arraial do cabo,-22.9661,-42.0278,25.98,65,40,10.29,BR,1685112531
22,vorkuta,67.5,64.0,22.59,49,47,9.08,RU,1685112531
23,kudahuvadhoo,2.6708,72.8944,28.53,73,13,3.76,MV,1685112531
24,bethel,41.3712,-73.414,20.11,42,0,4.47,US,1685112531
25,thunder bay,48.4001,-89.3168,11.99,54,20,1.03,CA,1685112273
26,badger,64.8,-147.5333,13.14,81,100,3.09,US,1685112532
27,klyuchi,52.2667,79.1667,13.5,37,0,4.97,RU,1685112532
28,keflavik,64.0049,-22.5624,8.95,100,100,10.8,IS,1685112532
29,sumbe,-11.2061,13.8437,26.32,75,3,3.78,AO,1685112532
30,opuwo,-18.0607,13.84,29.86,15,0,4.69,NA,1685112532
31,collie,-33.3667,116.15,6.67,80,0,0.63,AU,1685112532
32,blackmans bay,-43.0167,147.3167,9.74,80,32,3.55,AU,1685112532
33,port-aux-francais,-49.35,70.2167,4.96,99,98,9.37,TF,1685112532
34,hawaiian paradise park,19.5933,-154.9731,20.02,97,100,0.0,US,1685112532
35,grytviken,-54.2811,-36.5092,3.33,77,90,4.03,GS,1685112533
36,ola,59.5833,151.2833,1.38,94,91,1.35,RU,1685112331
37,ilulissat,69.2167,-51.1,0.01,74,75,1.54,GL,1685112533
38,longyearbyen,78.2186,15.6401,0.91,64,40,5.66,SJ,1685112533
39,bonthe,7.5264,-12.505,29.04,70,94,4.07,SL,1685112533
40,lihue,21.9789,-159.3672,22.77,76,40,6.17,US,1685112533
41,tiksi,71.6872,128.8694,0.58,92,99,6.08,RU,1685112534
42,georgetown,5.4112,100.3354,28.97,76,40,1.54,MY,1685112413
43,port augusta,-32.5,137.7667,13.09,63,100,1.92,AU,1685112534
44,touros,-5.1989,-35.4608,30.18,59,97,7.95,BR,1685112534
45,puerto leguizamo,-0.1934,-74.7819,23.96,96,96,1.4,CO,1685112534
46,punta arenas,-53.15,-70.9167,2.06,87,20,10.29,CL,1685112436
47,weno,7.4515,151.8468,28.09,74,100,3.35,FM,1685112534
48,olyokminsk,60.3736,120.4264,4.95,47,26,2.21,RU,1685112534
49,sisimiut,66.9395,-53.6735,1.83,67,100,12.28,GL,1685112535
50,lebu,-37.6167,-73.65,12.07,77,100,4.51,CL,1685112445
51,sola,-13.8833,167.55,25.58,65,70,5.4,VU,1685112384
52,aasiaat,68.7098,-52.8699,-0.41,81,100,3.91,GL,1685112535
53,anadyr,64.75,177.4833,0.28,93,75,2.0,RU,1685112535
54,whitehorse,60.7161,-135.0538,9.43,79,75,5.14,CA,1685112492
55,enewetak,11.3474,162.3373,27.78,79,100,7.87,MH,1685112535
56,murzuq,25.9155,13.9184,35.17,8,55,7.76,LY,1685112535
57,kemijarvi,66.7131,27.4306,11.2,34,98,5.8,FI,1685112535
58,el granada,37.5027,-122.4694,14.23,85,100,2.57,US,1685112535
59,manga,11.6636,-1.0731,40.64,20,90,1.83,BF,1685112536
60,ormara,25.2088,64.6357,28.59,88,0,7.91,PK,1685112536
61,ushuaia,-54.8,-68.3,2.79,87,75,11.32,AR,1685112422
62,dudinka,69.4058,86.1778,3.68,93,95,6.81,RU,1685112536
63,sitka,57.0531,-135.33,8.94,76,75,3.6,US,1685112536
64,dunedin,-45.8742,170.5036,10.45,80,56,0.89,NZ,1685112536
65,east london,-33.0153,27.9116,18.52,42,0,8.23,ZA,1685112536
66,puerto natales,-51.7236,-72.4875,1.25,86,75,7.2,CL,1685112436
67,uturoa,-16.7333,-151.4333,27.45,76,30,8.19,PF,1685112536
68,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,1685112536
69,hilo,19.7297,-155.09,21.27,96,100,1.79,US,1685112536
70,nar'yan-mar,67.6713,53.087,16.66,73,77,5.88,RU,1685112537
71,chul'man,56.8479,124.9104,5.43,73,100,6.64,RU,1685112537
72,invercargill,-46.4,168.35,9.92,67,44,5.85,NZ,1685112363
73,kaspiyskiy,45.3929,47.3707,21.52,70,36,7.28,RU,1685112537
74,swan hill,-35.3378,143.5544,11.48,62,60,2.79,AU,1685112380
75,howard springs,-12.497,131.047,25.95,62,97,0.71,AU,1685112537
76,marsh harbour,26.5412,-77.0636,27.3,67,79,2.42,BS,1685112537
77,chibougamau,49.9168,-74.3659,11.79,47,75,1.54,CA,1685112537
78,chonchi,-42.6128,-73.8092,3.56,80,80,3.48,CL,1685112537
79,kapuskasing,49.4169,-82.4331,17.0,29,40,6.17,CA,1685112537
80,fort myers shores,26.7092,-81.7459,29.44,78,0,4.12,US,1685112538
81,polyarnyy,69.1989,33.4478,10.06,39,100,6.67,RU,1685112538
82,acarau,-2.8856,-40.12,26.29,81,100,3.71,BR,1685112538
83,port mathurin,-19.6833,63.4167,25.17,77,90,9.0,MU,1685112538
84,fale old settlement,-9.3852,-171.2468,27.73,76,96,2.83,TK,1685112538
85,graaff-reinet,-32.2522,24.5308,11.62,57,0,2.34,ZA,1685112538
86,utrik,11.2278,169.8474,27.64,80,100,8.79,MH,1685112538
87,fort bragg,35.139,-79.006,18.69,40,0,7.72,US,1685112491
88,verdal,63.7933,11.4817,6.02,73,86,6.9,NO,1685112538
89,kingston,17.997,-76.7936,30.69,69,20,3.6,JM,1685112326
90,entebbe,0.0644,32.4469,26.18,61,20,6.17,UG,1685112539
91,kayangel,8.0823,134.7173,28.89,80,100,12.26,PW,1685112539
92,atafu village,-8.5421,-172.5159,28.32,71,100,3.31,TK,1685112539
93,moyale,3.5167,39.0584,22.16,72,97,2.72,KE,1685112539
94,minab,27.1467,57.0801,31.81,53,1,3.49,IR,1685112539
95,araruna,-6.5583,-35.7417,29.24,49,45,5.82,BR,1685112539
96,waajid,3.8096,43.2463,30.1,44,100,4.18,SO,1685112539
97,la passe,45.5549,-0.8967,28.13,53,0,3.66,FR,1685112539
98,saudarkrokur,65.7461,-19.6394,7.26,85,100,4.98,IS,1685112539
99,port blair,11.6667,92.75,28.91,77,12,4.13,IN,1685112540
100,vorgashor,67.5833,63.95,22.33,50,52,9.36,RU,1685112540
101,mahajanga,-15.7167,46.3167,30.01,58,20,2.57,MG,1685112540
102,kavaratti,10.5669,72.642,29.82,71,84,3.52,IN,1685112540
103,pisco,-13.7,-76.2167,22.03,73,100,3.09,PE,1685112540
104,loralai,30.3705,68.598,28.82,9,0,3.47,PK,1685112540
105,ugoofaaru,5.6667,73.0,29.58,71,9,4.67,MV,1685112540
106,mount gambier,-37.8333,140.7667,11.08,74,90,3.31,AU,1685112540
107,puerto ayora,-0.7393,-90.3518,28.98,92,78,3.13,EC,1685112540
108,talara,-4.5772,-81.2719,25.42,78,0,8.23,PE,1685112541
109,nyaunglebin,17.95,96.7333,27.56,80,38,4.04,MM,1685112541
110,nadym,65.5333,72.5167,19.64,53,95,5.33,RU,1685112541
111,laojunmiao,39.8333,97.7333,13.32,20,100,2.82,CN,1685112541
112,luebo,-5.35,21.4167,31.18,50,100,0.94,CD,1685112541
113,tondano,1.3038,124.9112,21.05,91,100,1.05,ID,1685112541
114,udachny,66.4167,112.4,4.14,69,100,3.94,RU,1685112542
115,vilyuchinsk,52.9306,158.4028,5.15,78,100,3.06,RU,1685112542
116,howrah,22.5892,88.3103,23.0,88,40,2.06,IN,1685112327
117,maloye ganyushkino,46.6,49.2667,27.63,34,100,9.63,KZ,1685112544
118,barreiras,-12.1528,-44.99,31.64,37,18,4.17,BR,1685112527
119,flying fish cove,-10.4217,105.6791,24.82,94,75,4.12,CX,1685112545
120,petropavlovka,50.6114,105.3196,6.97,57,82,1.94,RU,1685112545
121,hermanus,-34.4187,19.2345,15.45,58,6,6.06,ZA,1685112546
122,swakopmund,-22.6833,14.5333,22.47,78,76,4.02,NA,1685112549
123,kloulklubed,7.0419,134.2556,24.28,83,100,11.09,PW,1685112549
124,iskateley,67.6803,53.1512,16.56,73,79,5.87,RU,1685112550
125,constantia,44.1833,28.65,21.5,78,70,3.34,RO,1685112551
126,sambava,-14.2667,50.1667,24.18,83,1,6.14,MG,1685112552
127,urangan,-25.3,152.9,16.6,53,0,7.69,AU,1685112552
128,ribeira grande,38.5167,-28.7,21.22,60,20,6.69,PT,1685112553
129,crane,31.3974,-102.3501,21.87,74,77,8.58,US,1685112553
130,vilcun,-38.65,-72.2333,6.41,88,100,3.24,CL,1685112554
131,hithadhoo,-0.6,73.0833,26.67,79,98,9.05,MV,1685112554
132,juegang,32.3174,121.1855,20.93,93,100,3.96,CN,1685112555
133,chiguayante,-36.9167,-73.0167,12.29,82,75,3.09,CL,1685112555
134,tsiombe,-25.3,45.4833,21.86,76,0,4.53,MG,1685112555
135,bilibino,68.0546,166.4372,5.75,52,92,2.96,RU,1685112556
136,iqaluit,63.7506,-68.5145,-4.15,85,100,16.99,CA,1685112557
137,strezhevoy,60.7333,77.5889,13.96,42,100,2.84,RU,1685112558
138,yuanlin,30.4151,112.8859,22.53,98,95,1.95,CN,1685112558
139,yellowknife,62.456,-114.3525,10.29,76,75,1.54,CA,1685112558
140,beckum,51.75,8.0333,18.66,49,0,4.77,DE,1685112559
141,robore,-18.3333,-59.75,25.05,83,66,5.14,BO,1685112559
142,calingasta,-31.3308,-69.4078,13.62,27,0,1.17,AR,1685112560
143,hammerfest,70.6634,23.6821,4.25,81,75,11.32,NO,1685112560
144,freetown,8.484,-13.2299,27.54,76,79,3.23,SL,1685112561
145,ingeniero jacobacci,-41.3427,-69.5448,3.97,47,2,10.13,AR,1685112561
146,talnakh,69.4865,88.3972,3.45,96,96,4.99,RU,1685112561
147,champerico,14.3,-91.9167,28.3,68,93,0.24,GT,1685112563
148,nagato,34.3833,131.2,19.47,87,100,4.76,JP,1685112564
149,cole harbour,44.6724,-63.4751,10.52,73,100,6.17,CA,1685112564
150,new norfolk,-42.7826,147.0587,10.4,70,69,0.45,AU,1685112565
151,mudanjiang,44.5833,129.6,12.29,86,7,1.49,CN,1685112565
152,tura,25.5198,90.2201,23.63,76,4,1.49,IN,1685112565
153,turpan,42.9333,89.1667,27.39,19,24,2.51,CN,1685112565
154,hirara,24.8,125.2833,23.92,73,20,4.63,JP,1685112566
155,isafjordur,66.0755,-23.124,5.02,75,100,2.06,IS,1685112566
156,otse,-25.0167,25.7333,20.14,19,36,0.75,BW,1685112567
157,fort wayne,41.1306,-85.1289,18.03,46,8,4.92,US,1685112288
158,chato,-2.6378,31.7669,25.29,62,63,2.01,TZ,1685112567
159,guerrero negro,27.9769,-114.0611,16.49,69,62,7.5,MX,1685112568
160,remire-montjoly,4.9167,-52.2667,26.02,89,75,2.57,GF,1685112569
161,kismayo,-0.3582,42.5454,27.3,72,38,5.92,SO,1685112569
162,luderitz,-26.6481,15.1594,16.51,53,38,10.01,NA,1685112569
163,lycksele,64.5954,18.6735,9.93,40,20,6.69,SE,1685112570
164,grand baie,-20.0182,57.5802,21.26,85,100,0.89,MU,1685112571
165,avarua,-21.2078,-159.775,21.03,100,61,1.03,CK,1685112571
166,gurupi,-11.7292,-49.0686,31.85,38,26,5.35,BR,1685112573
167,box elder,41.5005,-112.8764,15.81,63,48,1.16,US,1685112573
168,quellon,-43.1167,-73.6167,4.14,87,75,4.12,CL,1685112436
169,wailua homesteads,22.0669,-159.378,22.44,77,40,6.17,US,1685112573
170,pangody,65.85,74.4859,14.51,45,81,8.89,RU,1685112574
171,kapsan-up,41.0903,128.2933,10.06,85,6,1.08,KP,1685112574
172,tinajo,29.0788,-13.7081,20.49,78,40,4.63,ES,1685112575
173,kuruman,-27.4524,23.4325,15.0,17,62,2.31,ZA,1685112575
174,grand falls-windsor,48.9332,-55.6649,6.39,94,100,1.79,CA,1685112576
175,son tay,21.1378,105.505,27.96,88,99,4.13,VN,1685112577
176,kuchera,26.9839,73.9719,35.06,34,0,8.71,IN,1685112578
177,fort st. john,56.2499,-120.8529,11.94,82,20,4.63,CA,1685112580
178,nadi,-17.8,177.4167,18.0,88,20,1.54,FJ,1685112581
179,levuka,50.1834,-105.4011,12.9,100,100,3.09,CA,1685112581
180,florida,28.7505,-82.5001,26.66,79,100,4.63,US,1685112581
181,juneau,58.3019,-134.4197,11.0,93,100,5.66,US,1685112581
182,barentu,15.1139,37.5928,36.68,17,82,6.68,ER,1685112582
183,jamestown,42.097,-79.2353,16.12,42,0,3.6,US,1685112373
184,luganville,-15.5333,167.1667,22.91,71,52,1.9,VU,1685112582
185,undurkhaan,47.3194,110.6556,12.37,34,100,3.08,MN,1685112583
186,okha,53.5739,142.9478,3.94,96,100,1.34,RU,1685112584
187,arica,-18.475,-70.3042,20.13,68,100,3.09,CL,1685112584
188,korla,41.7597,86.1469,20.87,35,88,6.41,CN,1685112393
189,zeya,53.75,127.2667,6.69,99,100,0.47,RU,1685112584
190,wicklow,53.0,-6.4167,15.92,69,14,2.91,IE,1685112584
191,hamilton,39.1834,-84.5333,20.34,50,0,3.13,US,1685112445
192,mushie,-3.0167,16.9,31.73,54,86,1.14,CD,1685112585
193,pedra azul,-16.0053,-41.2972,23.05,65,86,4.35,BR,1685112492
194,salekhard,66.53,66.6019,23.9,47,46,8.39,RU,1685112585
195,mambajao,9.2504,124.7156,27.38,83,97,5.28,PH,1685112585
196,port lincoln,-34.7333,135.8667,14.04,70,100,5.4,AU,1685112585
197,majene,-3.5403,118.9707,25.89,87,100,2.12,ID,1685112585
198,oranjemund,-28.55,16.4333,14.47,63,3,7.03,NA,1685112585
199,dwarka,22.2394,68.9678,28.47,86,5,9.48,IN,1685112585
200,nyurba,63.2842,118.3319,4.15,63,11,2.33,RU,1685112585
201,ladario,-19.0047,-57.6017,30.05,69,0,4.12,BR,1685112586
202,magadan,59.5667,150.8,1.0,94,68,0.6,RU,1685112586
203,sinop,41.7711,34.8709,15.59,97,98,2.34,TR,1685112441
204,shagonar,51.5333,92.8,8.13,69,87,2.54,RU,1685112586
205,sandnessjoen,66.0217,12.6316,6.29,88,75,3.13,NO,1685112586
206,qaryat suluq,31.6682,20.2521,24.15,53,0,9.64,LY,1685112586
207,yaren,-0.5472,166.916,28.41,74,79,3.17,NR,1685112586
208,daru,-9.0763,143.2092,25.3,88,92,6.36,PG,1685112586
209,stanley,54.868,-1.6985,18.21,76,20,4.63,GB,1685112587
210,qutqashen,40.9814,47.8458,25.11,61,31,0.51,AZ,1685112587
211,anchorage,61.2181,-149.9003,9.92,93,100,5.14,US,1685112581
212,zhatay,62.1594,129.8294,7.03,53,0,4.02,RU,1685112587
213,porto novo,6.4965,2.6036,30.9,63,21,4.77,BJ,1685112587
214,mugia,43.1041,-9.2179,19.39,71,44,8.16,ES,1685112587
215,tolanaro,-25.0319,46.9987,23.04,83,40,9.26,MG,1685112587
216,cafayate,-26.073,-65.9761,22.49,14,96,0.5,AR,1685112587
217,segovia,41.1667,-4.0,14.68,68,100,5.5,ES,1685112588
218,asha,54.9973,57.2722,27.32,34,83,0.89,RU,1685112588
219,shambu,9.5667,37.1,19.6,53,97,0.68,ET,1685112588
220,qashyr,53.0675,76.1036,13.33,42,0,4.26,KZ,1685112588
221,cannonvale,-20.2833,148.7,19.66,82,2,1.05,AU,1685112588
222,preobrazheniye,42.9019,133.9064,11.04,87,29,2.55,RU,1685112588
223,horsham,51.064,-0.3272,20.41,38,0,6.69,GB,1685112588
224,kimbe,-5.5502,150.1429,24.54,94,99,1.01,PG,1685112589
225,mont-dore,-22.2833,166.5833,21.67,99,43,3.73,NC,1685112589
226,saipan,15.1355,145.701,25.92,100,100,3.58,MP,1685112589
227,aleksandrov gay,50.147,48.5704,28.15,33,98,7.59,RU,1685112589
228,gadzhiyevo,69.2551,33.3362,10.3,36,100,7.03,RU,1685112589
229,maceio,-9.6658,-35.7353,28.69,74,75,5.66,BR,1685112589
230,westport,41.1415,-73.3579,20.69,36,0,4.02,US,1685112307
231,gamba,-2.65,10.0,27.01,79,100,4.67,GA,1685112589
232,tazovsky,67.4667,78.7,8.25,79,95,6.22,RU,1685112590
233,buka,40.8108,69.1986,23.89,23,0,0.84,UZ,1685112590
234,ntungamo,-0.8833,29.65,24.85,68,75,1.31,UG,1685112590
235,sigli,5.3848,95.9609,26.93,83,100,3.14,ID,1685112590
236,fukura,34.25,134.7167,20.0,77,40,7.72,JP,1685112590
237,afaahiti,-17.75,-149.2833,23.93,75,69,6.18,PF,1685112590
238,kailua-kona,19.6406,-155.9956,22.98,87,40,1.54,US,1685112590
239,decatur,39.8403,-88.9548,16.86,48,0,5.66,US,1685112352
240,antofagasta,-23.65,-70.4,16.6,56,100,3.77,CL,1685112590
241,lagunas,-5.2269,-75.6753,28.72,73,79,0.25,PE,1685112591
242,eastham,41.8301,-69.9739,17.18,67,0,3.6,US,1685112591
243,elliot lake,46.3834,-82.6331,16.88,37,89,2.36,CA,1685112591
244,ancud,-41.8697,-73.8203,8.32,70,76,7.16,CL,1685112591
245,zarate,-34.0981,-59.0286,18.31,10,100,0.94,AR,1685112591
246,kodiak,57.79,-152.4072,5.73,75,100,1.54,US,1685112591
247,atar,20.5169,-13.0499,28.59,48,100,3.63,MR,1685112541
248,kerikeri,-35.2268,173.9474,10.51,94,100,1.64,NZ,1685112592
249,altai,46.3722,96.2583,6.58,57,93,3.16,MN,1685112592
250,querendaro,19.8667,-100.9167,20.02,60,0,1.03,MX,1685112592
251,zhigalovo,54.8097,105.1578,4.02,78,100,1.01,RU,1685112592
252,al kharj,24.155,47.3346,41.32,12,11,2.45,SA,1685112592
253,ust-nera,64.5667,143.2,1.69,75,45,1.48,RU,1685112592
254,itaguai,-22.8522,-43.7753,27.79,57,20,4.63,BR,1685112592
255,kiomboi,-4.2667,34.3667,23.39,45,23,2.89,TZ,1685112592
256,garoowe,8.4054,48.4845,30.7,46,100,5.36,SO,1685112593
257,necochea,-38.5473,-58.7368,16.83,61,93,6.66,AR,1685112409
258,piti village,13.4626,144.6933,27.22,88,100,5.6,GU,1685112593
259,balkashino,52.5167,68.7667,15.95,49,4,2.39,KZ,1685112593
260,fort mcmurray,56.7268,-111.381,13.77,71,40,1.54,CA,1685112301
261,goundam,16.4145,-3.6708,41.77,11,49,6.94,ML,1685112593
262,susuman,62.7833,148.1667,1.05,75,79,2.47,RU,1685112593
263,karratha,-20.7377,116.8463,21.69,31,6,5.92,AU,1685112593
264,sychevka,55.8252,34.2736,19.29,69,92,1.23,RU,1685112593
265,yuzhno-kurilsk,44.0306,145.8556,10.04,88,100,6.15,RU,1685112594
266,callao,-12.0667,-77.15,24.16,64,0,3.6,PE,1685112594
267,petauke,-14.2426,31.3253,24.02,37,3,2.12,ZM,1685112594
268,ghat,24.9647,10.1728,33.57,9,93,7.5,LY,1685112594
269,togur,58.3631,82.8265,10.15,46,33,2.86,RU,1685112594
270,cidreira,-30.1811,-50.2056,25.2,57,38,4.05,BR,1685112594
271,haiku-pauwela,20.9219,-156.3051,22.25,80,0,4.12,US,1685112594
272,bom jesus,-9.0744,-44.3586,32.84,39,58,4.69,BR,1685112594
273,mount pearl,47.5166,-52.7813,7.14,96,100,10.29,CA,1685112594
274,minas de marcona,-15.2119,-75.1103,16.3,76,100,6.13,PE,1685112595
275,east ballina,-28.8667,153.5833,13.06,69,14,6.41,AU,1685112595
276,walvis bay,-22.9575,14.5053,22.53,49,0,5.14,NA,1685112595
277,vuktyl,63.8567,57.3094,22.86,50,70,6.72,RU,1685112595
278,ongjin,37.9347,125.3619,15.84,78,100,1.24,KP,1685112595
279,mossel bay,-34.1831,22.146,16.96,50,38,1.49,ZA,1685112595
280,port saint lucie,27.2939,-80.3503,28.35,64,77,1.34,US,1685112432
281,minden,52.2833,8.9167,18.88,51,20,3.6,DE,1685112595
282,san luis de la loma,17.2706,-100.8939,29.19,67,100,1.79,MX,1685112595
283,saldanha,-33.0117,17.9442,15.03,59,37,4.57,ZA,1685112596
284,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,75,40,2.0,RU,1685112596
285,abilene,32.4487,-99.7331,21.71,77,0,5.14,US,1685112417
286,freguesia do ribeirao da ilha,-27.7177,-48.5627,25.31,82,75,5.66,BR,1685112596
287,svetlyy,54.675,20.1347,14.03,64,72,5.6,RU,1685112596
288,sanctuary point,-35.1114,150.629,7.77,70,14,2.73,AU,1685112596
289,nemuro,43.3236,145.575,9.38,95,100,7.32,JP,1685112596
290,xining,36.6167,101.7667,13.78,61,100,0.23,CN,1685112596
291,alice springs,-23.7,133.8833,2.75,70,0,3.86,AU,1685112597
292,tual,-5.6667,132.75,27.07,73,12,6.22,ID,1685112597
